Carimbo de data/hora,Nome completo,Turma (Ex: TM222; BM151; PMQ361 - escrever dessa forma)
2019-04-01 00:56:24,cFmKhcXX,MAM261
2019-04-01 01:12:32,Tzm3qX1j,BM 161
2019-04-02 23:59:10,b5rGvCSy,MAM 261
2019-04-04 22:34:30,WMtIsCIj,QM161
2019-04-04 23:19:06,gVafAXsT,AM261
2019-04-04 23:20:17,0EQue5yw,FM171
2019-04-09 12:40:06,cqfApJP6,MAM261
2019-04-09 12:40:06,4K7kWMlr,FM161
2019-04-14 14:10:33,Y2mn1qEg,QM161
2019-04-16 21:39:58,7pbvfVCp,QM171
2019-04-17 01:02:48,sEBIPBBT,QM381
2019-04-17 08:08:48,pbQVSebj,QM161
2019-04-17 08:08:52,ARVOwShh,QM161
2019-04-17 11:12:05,zy47mpHC,QM161
2019-04-17 11:13:47,vutjEaEz,QM161
2019-04-18 01:17:49,VxZM6V7a,QM161
2019-04-20 01:34:23,ycnOYwHX,QM161
2019-04-20 01:40:08,OPHIoGzc,Qm 171
2019-04-20 01:56:26,szGZuzlX,QM381
2019-04-20 01:58:50,3av8cKqF,QM 161
2019-04-20 12:31:30,rzCNnqIj,QM171
2019-04-21 19:19:45,dhDtQrwh,QM 161
2019-04-21 23:02:42,iolImyB9,QM161
2019-04-23 00:11:08,reFq83mN,QM381
2019-04-24 15:49:47,Nb4FmnOo,QM161
2019-04-29 22:03:37,WxvcotrC,FM161
2019-04-29 23:08:36,qRIPpD6e,QM381
2019-04-29 23:36:23,iatYwOfk,Am261
2019-04-30 12:14:28,f0K8l8Xr,QM161
2019-04-30 16:30:20,WL4ktePW,MAM261
2019-04-30 16:52:57,8MBxEetu,MAM 261
2019-04-30 17:33:31,p9zzIiBo,QM381
2019-04-30 22:15:30,ox4lwCLP,QM171
2019-04-30 23:59:45,HZdPU09w,BM-171
2019-05-01 00:40:34,n100MSlu,BM171
2019-05-01 11:54:02,DLSTH5R4,QM161
2019-05-01 22:49:50,w9khdxhJ,BM171
2019-05-04 01:31:37,S9DbugJK,MAM261
2019-05-04 18:04:54,DUs8Bmni,BM171
2019-05-05 01:26:38,bLd8tA3g,QM171
2019-05-07 13:31:44,fhyWcvMV,QM161
2019-05-07 19:23:38,KSTwR9L7,QM 161
2019-05-08 22:16:12,2SlPE5pJ,QM161
2019-05-11 22:19:06,pvOfM1Ng,BM 161
2019-05-21 19:15:45,K1Cgjr9X,BM161
2019-05-30 11:00:00,0StX5Jae,FM161
2019-05-30 11:00:00,buvQ0CHP,FM161
2019-05-30 11:30:00,njwSEkkA,QM161
2019-05-30 11:30:00,CLpcGf5F,QM161
2019-05-30 18:00:00,AJELozMi,PMQ351
